index,num
1,191
2,988
3,194
4,105
5,592
6,792
7,708
8,234
9,243
10,340
11,326
12,247
13,229
14,743
15,019
16,179
17,475
18,291
19,852
20,502
21,558
22,951
23,912
24,039
25,458
26,984
27,917
28,789
29,589
30,725
31,073
32,547
33,063
34,634
35,333
36,405
37,168
38,389
39,587
40,304
41,048
42,228
43,922
44,697
45,970
46,298
47,989
48,202
49,476
50,042
51,802
52,717
53,889
54,226
55,728
56,929
57,836
58,383
59,410
60,980
61,542
62,725
63,251
64,260
65,588
66,512
67,512
68,750
69,902
70,963
71,661
72,879
73,452
74,174
75,283
76,238
77,972
78,241
79,310
80,882
81,269
82,144
83,174
84,882
85,307
86,864
87,370
88,739
89,697
90,689
91,168
92,957
93,910
94,933
95,306
96,944
97,988
98,562
99,571
100,899
101,945
102,560
103,824
104,610
105,619
106,086
107,082
108,254
109,191
110,385
111,056
112,167
113,744
114,205
115,770
116,366
117,952
118,635
119,952
120,650
121,439
122,458
123,513
124,863
125,409
126,318
127,217
128,855
129,620
130,559
131,820
132,016
133,926
134,603
135,454
136,295
137,819
138,995
139,356
140,054
141,783
142,077
143,694
144,594
145,125
146,766
147,464
148,489
149,003
150,538
151,332
152,224
153,750
154,791
155,126
156,991
157,570
158,604
159,259
160,839
161,284
162,516
163,648
164,198
165,563
166,331
167,233
168,107
169,351
170,574
171,679
172,355
173,581
174,967
175,683
176,203
177,845
178,464
179,168
180,632
181,890
182,439
183,589
184,492
185,882
186,439
187,975
188,254
189,199
190,170
191,424
192,021
193,656
194,812
195,819
196,907
197,728
198,374
199,269
200,411
201,176
202,676
203,093
204,211
205,531
206,938
207,413
208,781
209,920
210,192
211,022
212,151
213,502
214,870
215,215
216,337
217,712
218,594
219,260
220,112
221,514
222,227
223,333
224,466
225,751
226,952
227,188
228,014
229,409
230,383
231,523
232,945
233,065
234,317
235,582
236,830
237,648
238,414
239,741
240,229
241,400
242,066
243,608
244,140
245,827
246,593
247,537
248,193
249,624
250,180
251,227
252,004
253,616
254,238
255,770
256,088
257,935
258,447
259,216
260,061
261,596
262,042
263,839
264,362
265,928
266,972
267,093
268,024
269,782
270,793
271,823
272,783
273,526
274,854
275,806
276,385
277,632
278,877
279,891
280,326
281,907
282,743
283,940
284,588
285,760
286,272
287,925
288,144
289,838
290,167
291,085
292,737
293,663
294,107
295,075
296,880
297,144
298,104
299,155
300,126
301,330
302,001
303,497
304,399
305,367
306,748
307,690
308,519
309,777
310,575
311,104
312,068
313,069
314,242
315,137
316,218
317,190
318,537
319,395
320,598
321,429
322,064
323,375
324,805
325,531
326,930
327,980
328,736
329,543
330,179
331,196
332,167
333,238
334,480
335,950
336,551
337,632
338,704
339,152
340,992
341,259
342,686
343,997
344,035
345,513
346,000
347,718
348,394
349,431
350,638
351,417
352,038
353,996
354,750
355,487
356,852
357,756
358,469
359,277
360,965
361,965
362,640
363,458
364,908
365,887
366,841
367,778
368,805
369,135
370,091
371,798
372,202
373,417
374,409
375,994
376,274
377,155
378,075
379,649
380,820
381,885
382,606
383,081
384,690
385,332
386,578
387,396
388,227
389,275
390,956
391,066
392,426
393,029
394,729
395,440
396,963
397,345
398,274
399,816
400,596
401,354
402,058
403,431
404,109
405,891
406,222
407,042
408,237
409,400
410,866
411,636
412,514
413,910
414,737
415,834
416,001
417,371
418,429
419,723
420,427
421,402
422,495
423,367
424,043
425,535
426,618
427,159
428,512
429,641
430,652
431,219
432,163
433,255
434,698
435,161
436,244
437,727
438,235
439,605
440,520
441,196
442,174
443,198
444,107
445,087
446,531
447,453
448,785
449,048
450,033
451,423
452,666
453,102
454,713
455,612
456,887
457,189
458,383
459,620
460,150
461,190
462,292
463,994
464,086
465,095
466,256
467,882
468,687
469,949
470,577
471,301
472,616
473,407
474,041
475,583
476,111
477,498
478,277
479,962
480,335
481,550
482,818
483,075
484,899
485,485
486,932
487,856
488,115
489,618
490,634
491,995
492,931
493,385
494,153
495,827
496,028
497,595
498,211
499,012
500,679
501,640
502,929
503,782
504,947
505,480
506,993
507,172
508,295
509,831
510,253
511,914
512,947
513,900
514,122
515,286
516,583
517,287
518,402
519,658
520,493
521,535
522,073
523,532
524,036
525,919
526,357
527,593
528,743
529,413
530,719
531,835
532,277
533,200
534,432
535,205
536,951
537,998
538,628
539,435
540,154
541,033
542,614
543,362
544,269
545,838
546,098
547,806
548,411
549,450
550,666
551,300
552,993
553,019
554,355
555,602
556,331
557,443
558,666
559,297
560,057
561,190
562,382
563,080
564,732
565,982
566,906
567,433
568,953
569,049
570,587
571,798
572,731
573,597
574,910
575,939
576,487
577,228
578,398
579,588
580,385
581,160
582,315
583,850
584,085
585,365
586,207
587,569
588,652
589,485
590,947
591,046
592,036
593,829
594,130
595,162
596,193
597,429
598,306
599,554
600,752
601,421
602,979
603,699
604,939
605,030
606,638
607,405
608,964
609,178
610,337
611,801
612,730
613,591
614,369
615,142
616,475
617,092
618,279
619,567
620,866
621,044
622,639
623,308
624,675
625,546
626,588
627,472
628,201
629,118
630,223
631,194
632,182
633,446
634,382
635,669
636,403
637,633
638,951
639,783
640,908
641,636
642,433
643,364
644,949
645,584
646,732
647,175
648,044
649,282
650,969
651,345
652,258
653,037
654,507
655,798
656,028
657,959
658,553
659,649
660,875
661,081
662,646
663,070
664,195
665,297
666,277
667,943
668,157
669,367
670,811
671,682
672,916
673,385
674,478
675,944
676,830
677,068
678,628
679,261
680,277
681,503
682,973
683,632
684,715
685,947
686,790
687,751
688,232
689,042
690,274
691,132
692,548
693,094
694,900
695,797
696,003
697,971
698,907
699,278
700,232
701,883
702,993
703,424
704,869
705,094
706,948
707,851
708,337
709,762
710,114
711,755
712,428
713,620
714,943
715,040
716,469
717,743
718,241
719,234
720,217
721,889
722,214
723,739
724,376
725,397
726,629
727,125
728,743
729,189
730,974
731,808
732,715
733,179
734,496
735,610
736,603
737,821
738,065
739,918
740,602
741,054
742,286
743,854
744,946
745,031
746,134
747,831
748,617
749,920
750,912
751,266
752,370
753,208
754,307
755,982
756,386
757,375
758,088
759,548
760,699
761,805
762,804
763,610
764,094
765,117
766,835
767,618
768,192
769,220
770,325
771,522
772,574
773,811
774,080
775,923
776,302
777,237
778,226
779,167
780,033
781,472
782,014
783,924
784,703
785,908
786,160
787,221
788,433
789,787
790,807
791,552
792,220
793,685
794,199
795,461
796,360
797,418
798,477
799,953
800,817
801,793
802,468
803,405
804,331
805,224
806,221
807,122
808,296
809,127
810,929
811,559
812,614
813,096
814,873
815,839
816,650
817,922
818,427
819,369
820,033
821,292
822,459
823,535
824,102
825,339
826,823
827,802
828,939
829,442
830,247
831,764
832,626
833,826
834,594
835,309
836,926
837,539
838,524
839,679
840,059
841,306
842,219
843,768
844,170
845,274
846,531
847,473
848,098
849,539
850,646
851,717
852,057
853,363
854,112
855,939
856,099
857,921
858,510
859,400
860,963
861,931
862,883
863,585
864,426
865,329
866,571
867,432
868,634
869,245
870,772
871,639
872,755
873,367
874,454
875,778
876,845
877,589
878,318
879,908
880,678
881,494
882,703
883,745
884,388
885,307
886,302
887,672
888,691
889,139
890,332
891,254
892,353
893,184
894,592
895,614
896,108
897,055
898,980
899,350
900,088
901,694
902,377
903,648
904,005
905,812
906,202
907,865
908,042
909,116
910,947
911,972
912,891
913,524
914,737
915,356
916,276
917,502
918,997
919,223
920,498
921,315
922,893
923,232
924,511
925,971
926,373
927,468
928,848
929,032
930,905
931,330
932,471
933,337
934,361
935,304
936,666
937,865
938,603
939,308
940,188
941,059
942,614
943,881
944,937
945,019
946,361
947,220
948,478
949,788
950,707
951,147
952,549
953,875
954,103
955,845
956,981
957,533
958,454
959,911
960,060
961,345
962,559
963,805
964,230
965,131
966,832
967,715
968,181
969,950
970,749
971,147
972,337
973,557
974,795
975,432
976,000
977,192
978,158
979,011
980,420
981,250
982,071
983,727
984,824
985,622
986,505
987,683
988,241
989,979
990,543
991,505
992,124
993,393
994,658
995,312
996,931
997,168
998,851
999,189
1000,165
1001,828
1002,324
1003,241
1004,629
1005,215
1006,233
1007,297
1008,381
1009,699
1010,695
1011,813
1012,690
1013,199
1014,758
1015,922
1016,810
1017,463
1018,749
1019,546
1020,140
1021,642
1022,463
1023,224
1024,423
1025,793
1026,554
1027,794
1028,441
1029,825
1030,260
1031,216
1032,404
1033,466
1034,249
1035,067
1036,524
1037,925
1038,143
1039,258
1040,108
1041,526
1042,647
1043,844
1044,883
1045,267
1046,676
1047,165
1048,602
1049,006
1050,290
1051,538
1052,642
1053,670
1054,911
1055,552
1056,646
1057,137
1058,347
1059,879
1060,966
1061,995
1062,165
1063,966
1064,228
1065,385
1066,571
1067,259
1068,330
1069,670
1070,853
1071,910
1072,382
1073,461
1074,866
1075,567
1076,954
1077,294
1078,408
1079,438
1080,410
1081,465
1082,486
1083,334
1084,721
1085,175
1086,750
1087,299
1088,305
1089,670
1090,549
1091,621
1092,779
1093,782
1094,798
1095,289
1096,601
1097,188
1098,053
1099,180
1100,390
1101,232
1102,015
1103,270
1104,386
1105,748
1106,821
1107,519
1108,407
1109,739
1110,904
1111,850
1112,417
1113,735
1114,685
1115,703
1116,409
1117,718
1118,816
1119,264
1120,789
1121,996
1122,702
1123,687
1124,818
1125,820
1126,361
1127,554
1128,956
1129,264
1130,036
1131,210
1132,418
1133,036
1134,251
1135,887
1136,410
1137,233
1138,250
1139,072
1140,757
1141,917
1142,540
1143,129
1144,999
1145,126
1146,442
1147,428
1148,016
1149,511
1150,831
1151,714
1152,177
1153,687
1154,142
1155,309
1156,198
1157,041
1158,971
1159,806
1160,831
1161,577
1162,366
1163,990
1164,835
1165,644
1166,254
1167,183
1168,280
1169,400
1170,617
1171,581
1172,020
1173,271
1174,170
1175,493
1176,608
1177,441
1178,996
1179,889
1180,044
1181,346
1182,903
1183,609
1184,749
1185,342
1186,422
1187,184
1188,865
1189,463
1190,556
1191,269
1192,664
1193,686
1194,438
1195,416
1196,897
1197,695
1198,547
1199,152
1200,944
1201,957
1202,459
1203,989
1204,820
1205,766
1206,943
1207,958
1208,160
1209,612
1210,162
1211,304
1212,638
1213,415
1214,911
1215,979
1216,221
1217,279
1218,933
1219,825
1220,118
1221,496
1222,267
1223,784
1224,495
1225,913
1226,337
1227,953
1228,899
1229,842
1230,274
1231,260
1232,317
1233,738
1234,796
1235,235
1236,885
1237,852
1238,891
1239,348
1240,798
1241,930
1242,175
1243,622
1244,651
1245,704
1246,518
1247,054
1248,504
1249,455
1250,276
1251,106
1252,936
1253,353
1254,058
1255,958
